Study,            Year,PMID,experimental_events,experimental_total,control_events,control_total, cofactor.setting
Da Qing,1997,.,33,72,51,76,Research
DPP,2002,11832527,155,1079,313,1082,Research
DPS,2001,.,27,265,59,257,Research
EDIPS,2009,.,7,51,13,51,Research
HELP PD,2011,.,4,151,11,150,Research
IDPP,2006,.,47,120,73,133,Research
JDPP,2013,.,9,103,18,110,Research
Kosaka,2006,.,3,102,13,356,Research
Oldroyd,2005,.,7,37,8,32,Research
PODOSA,2014,.,12,81,16,82,Research
SLIM,2003,.,11,61,19,60,Research
Norfolk,2020,33136119,62,414,39,171,Community
YMCA,2015,26378828,26,220,24,226,Community
